ik14,Uniprot,E3 ligase,cell_ribes,active,dc50_nM,dmax_pct,ribes_seen,ribes_proba_standard,ribes_major_standard,ribes_proba_target,ribes_major_target
DGWYNZWAXVNGMI,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5272549,1,0.27176923,0
DISVDHINNIWQNG,Q92918,CRBN,Jurkat,0,385.6,52.0,False,0.40086064,0,0.44083142,0
DJUXJFYQMGQWDV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.5031493,1,0.33125225,0
DKOUFZGFKKHOHN,Q92918,CRBN,Jurkat,0,10000.0,48.2,False,0.4563379,0,0.4766953,0
DKWMHDBRVHNYTN,Q08881,CRBN,Jurkat,0,105.9,92.0,False,0.65661883,1,0.56254226,1
DLOJSADPWFQRKI,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4940169,0,0.2730431,0
DMAHZRHMTGCTBW,P01116,CRBN,AsPC-1,0,100.0,60.0,False,0.42621037,0,0.31336406,0
DNUGNVSIOQHXBQ,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4521929,0,0.3080472,0
DNYOJYXHYCVJKW,P10275,CRBN,VCaP,1,5.7,88.0,False,0.7839276,1,0.58240074,1
DOLDIZFTOSRBOK,Q06187,CRBN,TMD8,0,17.0,76.0,False,0.88163656,1,0.66308266,1
DPAZRRGSBQCZSC,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5249841,1,0.2822117,0
DPIXGXIUWQFJEU,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4712299,0,0.34453487,0
DPTJZVQTTIPIPR,O60885,CRBN,HEK293T,1,5.0,99.0,False,0.77466846,1,0.6423271,1
DQEMJFSABASELK,P10275,CRBN,LNCaP,1,22.0,100.0,False,0.6591834,1,0.56920975,1
DQGNINFYAAEZKL,O60885,CRBN,HEK293,0,21.1,65.0,False,0.7957535,1,0.6441832,1
DQMBTKIEXZWZMS,P09874,CRBN,HCT 116,0,20000.0,31.77,False,0.73956394,1,0.46152973,0
DQQMOQXMKRXELC,P50750,CRBN,MOLT-4,1,0.89,97.7,False,0.5710152,1,0.45657316,0
DRTSZGVKXLJNNH,P01116,VHL,AsPC-1,0,131.6,98.1,False,0.5221593,1,0.3121437,0
DRYYXCWLEXLNTB,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4685184,0,0.32870623,0
DUEGKYWYMGQGDW,Q9NWZ3,CRBN,RAW 264.7,1,47.38,91.0,False,0.67336684,1,0.5507275,1
DUKYNDYQMHGOSD,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49466053,0,0.2670854,0
DVJGBZOCDDYJLY,P10275,CRBN,VCaP,1,18.0,81.0,False,0.7817052,1,0.5691147,1
DVPXXSLKFPXCBU,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.53119737,1,0.29590437,0
DWEHMBLINDIOGQ,P11802,CRBN,Jurkat,0,281.25,73.5,False,0.47535226,0,0.3364118,0
DXWNLVKIDXFRLV,Q06187,CRBN,JeKo-1,1,9.3,93.6,False,0.78392416,1,0.6793669,1
DYTNKDWEMQWVKR,Q92793,CRBN,VCaP,1,0.45,95.0,False,0.8705098,1,0.6173056,1
DYVUTXZANNTVBU,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.46940294,0,0.27071717,0
DZBLWYQPZXUQGG,O60885,CRBN,MDA-MB-231,0,134.0,79.0,False,0.73661333,1,0.4713281,0
DZIBQWKAJPUJCB,Q92918,CRBN,Jurkat,0,23.9,67.0,False,0.40920472,0,0.43493703,0
DZJCTNGKFRUZQI,P50750,CRBN,MOLM-13,0,100.0,93.1,False,0.42687353,0,0.40459123,0
DZMRIRHUWOIDDQ,P01116,VHL,AsPC-1,0,1014.0,96.7,False,0.5287114,1,0.3116919,0
FAEKXLSKLVRFEC,P62942,CRBN,HEK293T,1,27.0,99.0,False,0.48860657,0,0.34579393,0
FCQXHLPMLGYZHN,Q06187,CRBN,Ramos,1,2.4,95.0,False,0.8211855,1,0.637324,1
FFAXWQXTTRSZBR,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.48452973,0,0.32163134,0
FHKJSQYVZHOMIZ,Q92918,CRBN,Jurkat,0,33.9,59.9,False,0.46999457,0,0.4913851,0
FHKOVLSBVWFFKN,P03372,CRBN,MCF-7,1,0.4,100.0,False,0.48661825,0,0.2741572,0
FHWJSCBNRQSVKG,P03372,CRBN,MCF-7,1,0.16,89.0,False,0.5209125,1,0.2651628,0
FJPUZJRXDULWLZ,Q92918,CRBN,Jurkat,0,29.3,73.0,False,0.40799066,0,0.46067837,0
FJYJJKVJGBDHHG,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5004325,1,0.2834984,0
FKQOKRKMDMWDTM,Q92918,CRBN,Jurkat,0,385.0,56.0,False,0.41710165,0,0.4256002,0
FLBHHDGUOVAFMU,P10275,CRBN,LNCaP,1,26.0,92.0,False,0.6367762,1,0.5325278,1
FMGIOMVADBAONN,Q06187,CRBN,TMD8,1,1.0,96.0,False,0.8834002,1,0.6665246,1
FMWLMMJZHGPJKO,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.43226716,0,0.31316027,0
FNJHTSPTDABDEU,P10275,VHL,LNCaP,0,527.0,54.0,False,0.64739746,1,0.56742185,1
FNQIHJLUXRFLHT,O60885,CRBN,HEK293T,1,34.0,88.0,False,0.77450514,1,0.63602257,1
FOTJPEPDXXOTQF,O60885,CRBN,HEK293,1,12.8,94.0,False,0.7843705,1,0.64451724,1
FPHGKABLQJCHEB,Q92918,CRBN,Jurkat,0,10000.0,38.5,False,0.4599897,0,0.4869059,0
FPVWCOYFTMTBJA,Q92918,CRBN,Jurkat,1,78.8,84.1,False,0.46705675,0,0.49220815,0
FQAXUEQNJLYPKH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4437264,0,0.31360316,0
FRAWOGGHQRLUBB,Q9H8M2,CRBN,HEK293,1,70.0,99.0,False,0.4905158,0,0.3824787,0
FREVVLLMNHHIMW,P03372,CRBN,MCF-7,1,1.2,97.0,False,0.5322512,1,0.2832929,0
FRGPLXSNBSBCPG,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.53562313,1,0.2755317,0
FSIRXDSTGGZBHJ,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.5003424,1,0.2895189,0
FSXKBPXCHIQNHV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49013296,0,0.32197097,0
FTJXONGELSWLLE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.4833131,0,0.27202642,0
FTLFVUZDLOWJLU,P10275,CRBN,VCaP,0,290.0,71.0,False,0.78819007,1,0.60887575,1
FTNHSXYOMCZKKS,P03372,CRBN,MCF-7,0,50.0,75.0,False,0.52620584,1,0.28429148,0
FXGAVYWCFCECNW,P09874,CRBN,HCT 116,0,20100.0,49.82,False,0.7447686,1,0.4703308,0
FXHSLFPHSQGRHN,Q08881,CRBN,Jurkat,1,75.4,82.0,False,0.6424219,1,0.50998336,1
FYKDAWGISLGSMC,P36888,CRBN,MV4-11,0,2.26,77.2,False,0.5436928,1,0.40795037,0
FYZURCIGJWTNQB,Q9H8M2,CRBN,HEK293,1,5.7,99.0,False,0.4867251,0,0.392368,0
FZPFOKCSBXRUCY,O60885,CRBN,MDA-MB-231,1,97.1,88.0,False,0.7255604,1,0.467007,0
GBTBLBKXKPUBEP,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49876308,0,0.2717931,0
GCZBURKTXXRCIT,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4907455,0,0.33730507,0
GFTPPVNUXHWDAA,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.50542116,1,0.28050938,0
GFVYFOWLPWYPDD,P09874,CRBN,HCT 116,0,9565.0,85.515,False,0.7323182,1,0.448565,0
GGLGXBGGASXSIW,P29597,VHL,Jurkat,0,230.0,77.0,False,0.6428917,1,0.49280867,0
GIBHYBDXJQVMRG,P01116,CRBN,AsPC-1,0,100.0,60.0,False,0.48243427,0,0.31377044,0
GINGGRXLSOEZKB,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49001297,0,0.26336098,0
GIOJKPKLODMSGU,Q92793,CRBN,VCaP,1,0.25,95.0,False,0.8642804,1,0.61255693,1
GJBSUVKCGKFMQI,O60885,CRBN,HEK293T,0,780.0,77.0,False,0.793895,1,0.6538797,1
GMCWCUOAGNWNLO,P51531,VHL,SK-MEL-28,0,506.0,67.5,False,0.7914376,1,0.42781687,0
GMNPITQICRXILF,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.5002939,1,0.32213536,0
GNVVSENDBDNIGW,P03372,CRBN,MCF-7,1,0.07929,95.0,False,0.5319922,1,0.29416335,0
GOPHMTKUFKPSCI,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5012467,1,0.27896783,0
GPDMQQMGEDQVDE,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.537379,1,0.29512778,0
GQEMFJCTLPYJIF,P01116,CRBN,AsPC-1,0,250.0,70.0,False,0.4981459,0,0.33075574,0
GQZPPJBTNANHER,Q92793,CRBN,RS4;11,1,1.8,86.0,False,0.75625354,1,0.56474036,1
GRCWKRCQBMPDDA,Q92793,CRBN,RS4;11,1,0.9,98.0,False,0.7413647,1,0.5805989,1
GRNGKZZXZZUMTM,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.46673724,0,0.30569205,0
GRSNZWSQIYXFPM,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.4755632,0,0.320807,0
GRTUCEOYBLSCJP,Q92793,CRBN,RS4;11,1,0.95,80.5,False,0.7659914,1,0.57758564,1
GRVXOUZOUFEVRY,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44040537,0,0.37622377,0
GRWBTVZBARTMKI,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.44693688,0,0.32342967,0
GTQNZEKBJQYAJI,Q9H8M2,CRBN,HEK293,1,94.0,97.0,False,0.48360893,0,0.37724462,0
GUKINEBETXGZNQ,O60885,CRBN,HEK293,0,2.6,62.0,False,0.80015486,1,0.65416133,1
GUQFDBHYZUFOJM,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.5261419,1,0.28724188,0
GUWGCJCFMYJJCN,P03372,CRBN,MCF-7,1,0.1,100.0,False,0.49345127,0,0.26734722,0
GVINOWISVXZLKA,P01116,CRBN,AsPC-1,0,100.0,50.0,False,0.50651145,1,0.32134208,0
GWNHLXPYNJETCH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4858737,0,0.32628778,0
GXMZVRVWLSTSEG,Q06187,CRBN,Ramos,0,2885.0,51.0,False,0.8066206,1,0.6269479,1
GZPJFHIWNQNNSD,P01116,VHL,AsPC-1,0,226.3,82.4,False,0.5262118,1,0.31344151,0
HBEJXYBKHVCHGV,Q92918,CRBN,Jurkat,0,229.6,58.0,False,0.4119142,0,0.4610602,0
HBHGPBBNMZIAKT,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49667063,0,0.2695711,0
HBIFBOLRZZOMQV,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49221405,0,0.33752403,0
HBMULTNZJNRNCG,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.4926578,0,0.2742565,0
HDDDLGGWALGZKG,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47579226,0,0.3170783,0
HDKHIHXXGKCSBP,P11802,CRBN,Jurkat,1,36.45,90.0,False,0.46113014,0,0.32556567,0
HFMNEWFVZKPATN,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4985172,0,0.33227715,0
HGEMTRSJRJKZAH,P03372,CRBN,MCF-7,0,0.3,25.0,False,0.50036025,1,0.27197427,0
HIMPUSAONKTVMA,Q9BY41,CRBN,HCT 116,0,441.0,77.0,False,0.39852035,0,0.22836763,0
HJLNFVSSNIFDNV,P10275,CRBN,LNCaP,0,16.0,79.0,False,0.62824565,1,0.6035826,1
HKMUULSLHVOHMZ,Q92793,CRBN,RS4;11,0,1.7,66.0,False,0.75945,1,0.58327514,1
HKYGFRGGDPTYPH,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.53252035,1,0.27367127,0
HLFIMIUCZKHKSI,Q92793,CRBN,RS4;11,1,0.15,89.5,False,0.7618752,1,0.60121244,1
HLYLNRDFJAPWSR,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49354634,0,0.28028703,0
HMFPWZHVOGKYKT,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.49795708,0,0.33510694,0
HMGDRXZDHYGWAH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4453503,0,0.32033956,0
HMJPYTUDBOCFFX,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.49073568,0,0.2600394,0
HMLXCHFBGHUPHQ,Q92793,CRBN,RS4;11,0,14.9,71.5,False,0.7465518,1,0.5888726,1
HNWIYSLNSNGHQL,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4426491,0,0.30878362,0
HQGJFLMZLKUQQK,P09874,CRBN,HCT 116,0,20000.0,33.62,False,0.7158728,1,0.46728376,0
HRBKSBSBJGJLMD,P03372,CRBN,MCF-7,1,0.1267,92.0,False,0.52786463,1,0.32683077,0
HREXKQQPJFGTJW,P10275,CRBN,LNCaP,0,180.0,92.0,False,0.6510221,1,0.5604516,1
HSRYBYBNUIXGPN,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.48721194,0,0.2737454,0
HTCYENAEFGXMBN,P11802,CRBN,Jurkat,0,508.15,68.5,False,0.47333148,0,0.3411697,0
HTRPLICOUPYTSA,Q9H8M2,CRBN,HEK293,1,37.0,90.0,False,0.49556932,0,0.3700405,0
HTTICGLXYYLMDH,P50750,CRBN,MDA-MB-231,1,3.94,96.0,False,0.4226583,0,0.28676194,0
HTZKEGBJQSNRPS,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.4398425,0,0.31713828,0
HUPQXHIYSCJHFN,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.481351,0,0.3291041,0
HVBHZDKTMNATQR,P01116,CRBN,AsPC-1,0,1000.0,50.0,False,0.5025055,1,0.34309736,0
HVCUHKYQOOWTKP,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49005497,0,0.27222982,0
HVGXJCYZTQDJAH,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.47629595,0,0.34310505,0
HVKRSVRPJLSWCD,P01116,CRBN,AsPC-1,0,100.0,70.0,False,0.50759536,1,0.32846233,0
HVNFFKLHUBPWOR,P03372,CRBN,MCF-7,0,5.0,75.0,False,0.52696973,1,0.27817884,0
HVVUCVPBWVLAFT,Q9H8M2,CRBN,HEK293,0,107.0,90.0,False,0.4803411,0,0.37972268,0
HWBJXQNUDFNRQJ,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.49779296,0,0.28072944,0
HWEFEZUTECUWNS,Q13547,VHL,HCT 116,0,2840.0,62.0,False,0.40363416,0,0.23010798,0
HWEWHJKPIYCTHI,P03372,CRBN,MCF-7,1,0.9,100.0,False,0.48882505,0,0.26782843,0
HXJOBSTYEDSJNC,P01116,CRBN,AsPC-1,0,1000.0,25.0,False,0.4962789,0,0.33885765,0
HYHSJYMZWGTVLB,Q92793,CRBN,RS4;11,1,0.65,93.5,False,0.7490988,1,0.57656604,1
IBWMKKPVZHZHTL,P03372,CRBN,MCF-7,0,5.0,50.0,False,0.47872856,0,0.27292967,0
ICPREALNMMYIPF,P03372,CRBN,MCF-7,1,0.011,100.0,False,0.50895745,1,0.28888795,0
ICQRDWJIGVISFZ,Q9H8M2,CRBN,HEK293,1,3.0,99.0,False,0.488741,0,0.4055942,0
